0.0	0.068	0.055	0.061	0.063	0.03	0.019	0.041	0.022	0.018	0.038	0.059	0.018	0.04	0.056	0.012	0.06	0.067	0.06	0.03	0.022	0.04	0.021	
0.068	0.0	0.031	0.075	0.056	0.08	0.096	0.084	0.066	0.07	0.067	0.026	0.058	0.08	0.028	0.058	0.063	0.027	0.03	0.082	0.08	0.046	0.068	
0.055	0.031	0.0	0.065	0.055	0.064	0.074	0.072	0.058	0.056	0.055	0.033	0.05	0.069	0.003	0.05	0.055	0.036	0.035	0.064	0.066	0.024	0.057	
0.061	0.075	0.065	0.0	0.077	0.051	0.039	0.068	0.06	0.062	0.094	0.061	0.047	0.094	0.078	0.049	0.065	0.07	0.067	0.053	0.061	0.078	0.056	
0.063	0.056	0.055	0.077	0.0	0.07	0.098	0.093	0.062	0.067	0.062	0.048	0.06	0.073	0.057	0.058	0.027	0.05	0.048	0.067	0.084	0.06	0.061	
0.03	0.08	0.064	0.051	0.07	0.0	0.039	0.043	0.018	0.036	0.036	0.068	0.036	0.023	0.05	0.033	0.065	0.079	0.08	0.025	0.043	0.048	0.019	
0.019	0.096	0.074	0.039	0.098	0.039	0.0	0.038	0.049	0.027	0.057	0.075	0.039	0.024	0.086	0.033	0.072	0.094	0.088	0.035	0.033	0.056	0.047	
0.041	0.084	0.072	0.068	0.093	0.043	0.038	0.0	0.041	0.043	0.077	0.076	0.03	0.05	0.073	0.042	0.084	0.086	0.077	0.042	0.04	0.057	0.039	
0.022	0.066	0.058	0.06	0.062	0.018	0.049	0.041	0.0	0.032	0.026	0.058	0.011	0.017	0.055	0.024	0.061	0.069	0.059	0.014	0.047	0.039	0.009	
0.018	0.07	0.056	0.062	0.067	0.036	0.027	0.043	0.032	0.0	0.049	0.058	0.024	0.05	0.059	0.017	0.058	0.069	0.059	0.036	0.023	0.044	0.028	
0.038	0.067	0.055	0.094	0.062	0.036	0.057	0.077	0.026	0.049	0.0	0.06	0.023	0.037	0.057	0.012	0.06	0.067	0.061	0.037	0.06	0.043	0.028	
0.059	0.026	0.033	0.061	0.048	0.068	0.075	0.076	0.058	0.058	0.06	0.0	0.051	0.07	0.026	0.055	0.053	0.035	0.005	0.07	0.07	0.045	0.059	
0.018	0.058	0.05	0.047	0.06	0.036	0.039	0.03	0.011	0.024	0.023	0.051	0.0	0.017	0.034	0.019	0.066	0.059	0.053	0.033	0.034	0.034	0.012	
0.04	0.08	0.069	0.094	0.073	0.023	0.024	0.05	0.017	0.05	0.037	0.07	0.017	0.0	0.069	0.034	0.071	0.081	0.071	0.021	0.05	0.052	0.015	
0.056	0.028	0.003	0.078	0.057	0.05	0.086	0.073	0.055	0.059	0.057	0.026	0.034	0.069	0.0	0.035	0.053	0.03	0.028	0.051	0.067	0.003	0.054	
0.012	0.058	0.05	0.049	0.058	0.033	0.033	0.042	0.024	0.017	0.012	0.055	0.019	0.034	0.035	0.0	0.052	0.056	0.054	0.035	0.024	0.037	0.026	
0.06	0.063	0.055	0.065	0.027	0.065	0.072	0.084	0.061	0.058	0.06	0.053	0.066	0.071	0.053	0.052	0.0	0.056	0.066	0.063	0.07	0.06	0.061	
0.067	0.027	0.036	0.07	0.05	0.079	0.094	0.086	0.069	0.069	0.067	0.035	0.059	0.081	0.03	0.056	0.056	0.0	0.036	0.08	0.079	0.05	0.07	
0.06	0.03	0.035	0.067	0.048	0.08	0.088	0.077	0.059	0.059	0.061	0.005	0.053	0.071	0.028	0.054	0.066	0.036	0.0	0.083	0.072	0.044	0.06	
0.03	0.082	0.064	0.053	0.067	0.025	0.035	0.042	0.014	0.036	0.037	0.07	0.033	0.021	0.051	0.035	0.063	0.08	0.083	0.0	0.047	0.047	0.011	
0.022	0.08	0.066	0.061	0.084	0.043	0.033	0.04	0.047	0.023	0.06	0.07	0.034	0.05	0.067	0.024	0.07	0.079	0.072	0.047	0.0	0.053	0.044	
0.04	0.046	0.024	0.078	0.06	0.048	0.056	0.057	0.039	0.044	0.043	0.045	0.034	0.052	0.003	0.037	0.06	0.05	0.044	0.047	0.053	0.0	0.038	
0.021	0.068	0.057	0.056	0.061	0.019	0.047	0.039	0.009	0.028	0.028	0.059	0.012	0.015	0.054	0.026	0.061	0.07	0.06	0.011	0.044	0.038	0.0	
